actorid,a_gender,a_quality
4,M,4
16,M,0
28,M,4
566,M,4
580,M,4
636,M,0
769,M,4
797,M,4
802,M,4
808,M,3
817,M,0
851,M,3
888,M,4
894,M,3
923,M,4
962,M,4
978,M,3
989,M,4
1143,M,3
1276,M,3
1304,M,3
1348,M,0
1391,M,4
1517,M,4
1535,M,3
1554,M,4
1556,M,4
1583,M,3
1588,M,4
1595,M,4
1710,M,0
1805,M,4
1923,M,3
1927,M,0
1929,M,4
1930,M,0
1982,M,3
1993,M,4
2000,M,2
2007,M,3
2036,M,4
2039,M,4
2060,M,5
2065,M,4
2085,M,0
2117,M,4
2131,M,4
2132,M,4
2154,M,3
2177,M,3
2188,M,0
2192,M,0
2211,M,0
2212,M,3
2225,M,4
2241,M,4
2274,M,0
2304,M,3
2528,M,3
2540,M,3
2542,M,3
2553,M,3
2563,M,3
2593,M,4
2645,M,3
2661,M,0
2799,M,3
2806,M,4
2818,M,3
2930,M,3
3055,M,3
3105,M,3
3134,M,4
3142,M,3
3188,M,0
3191,M,2
3242,M,3
3300,M,4
3344,M,4
3391,M,4
3422,M,4
3424,M,3
3441,M,4
3467,M,2
3480,M,3
3543,M,3
3553,M,3
3639,M,4
3661,M,3
3681,M,0
3733,M,4
3740,M,4
3764,M,3
3781,M,0
3796,M,4
3818,M,2
3882,M,4
3976,M,4
4010,M,4
4047,M,4
4058,M,3
4066,M,3
4151,M,4
4232,M,4
4233,M,4
4258,M,4
4275,M,3
4333,M,3
4343,M,3
4357,M,3
4398,M,4
4419,M,3
4448,M,4
4450,M,3
4461,M,4
4472,M,4
4477,M,4
4490,M,3
4521,M,3
4536,M,4
4548,M,2
4556,M,4
4580,M,3
4590,M,3
4600,M,4
4602,M,3
4604,M,4
4605,M,4
4607,M,4
4609,M,2
4611,M,3
4667,M,2
4700,M,0
4781,M,4
4881,M,3
4909,M,3
4954,M,3
4972,M,4
4973,M,4
5012,M,3
5034,M,3
5079,M,3
5094,M,3
5104,M,4
5163,M,2
5164,M,4
5268,M,4
5282,M,0
5380,M,4
5552,M,4
5608,M,3
5609,M,0
5610,M,3
5681,M,3
5733,M,4
5834,M,0
5873,M,3
5894,M,4
5901,M,4
5909,M,4
5917,M,3
5969,M,4
5971,M,2
5988,M,3
6096,M,3
6163,M,3
6173,M,4
6224,M,4
6292,M,4
6293,M,4
6360,M,4
6369,M,4
6403,M,4
6409,M,3
6413,M,3
6442,M,3
6507,M,3
6528,M,3
6584,M,3
6685,M,0
6692,M,4
6719,M,3
6742,M,4
6751,M,4
6760,M,0
6830,M,3
6837,M,0
6845,M,1
6852,M,0
6870,M,3
6879,M,3
6893,M,3
6959,M,3
7058,M,3
7072,M,0
7075,M,2
7126,M,4
7155,M,4
7197,M,3
7246,M,3
7306,M,4
7349,M,4
7370,M,0
7389,M,0
7390,M,0
7426,M,4
7550,M,3
7598,M,0
7636,M,0
7650,M,0
7654,M,3
7662,M,3
7716,M,3
7811,M,4
7825,M,0
7882,M,4
8124,M,4
8125,M,4
8138,M,3
8192,M,3
8214,M,3
8257,M,3
8260,M,4
8308,M,3
8309,M,3
8325,M,3
8361,M,0
8385,M,0
8393,M,4
8484,M,4
