directorid,d_quality,avg_revenue
67,4,1
92,2,3
284,4,0
708,4,1
746,4,4
836,2,3
947,3,0
1151,3,2
1756,2,2
1836,3,2
1851,4,4
3134,3,1
3707,3,2
4164,4,3
4451,3,3
4621,4,4
4637,3,2
4930,2,3
4997,2,0
5049,3,1
5088,3,1
5185,4,3
5201,4,4
5308,3,0
5425,3,2
5442,4,2
5763,4,2
5798,4,3
6057,2,4
6301,2,2
6429,4,2
6458,4,1
6523,3,4
6981,3,2
7117,3,2
7212,3,0
7309,4,0
7335,4,3
7365,4,4
7366,3,4
7387,0,0
7456,4,3
7682,3,1
8157,4,2
8168,4,1
8171,4,2
8343,4,3
8349,4,4
8468,4,3
8685,4,1
8702,4,3
9131,3,4
9273,3,1
9314,3,1
9381,4,4
9494,3,0
9510,3,2
9679,3,4
9836,4,0
10177,4,4
10238,4,3
10292,4,4
10450,4,1
10484,3,3
10582,4,2
10722,3,0
10892,3,2
11239,4,3
11282,3,1
11290,3,0
11324,3,2
11566,4,0
11602,4,1
12018,4,4
12251,4,3
12394,4,2
12439,3,2
12546,3,1
12551,3,1
12677,3,4
12720,3,4
12931,2,3
12945,0,0
13312,4,0
13331,3,2
13518,4,1
13745,3,4
13841,3,0
14111,4,1
14131,3,2
14198,4,2
14380,3,4
14569,3,3
14624,2,0
14663,4,0
14791,3,3
14824,3,2
14901,3,2
15061,4,0
15089,3,2
15282,4,3
15635,4,4
15640,2,3
15661,3,2
15725,0,0
16085,2,2
16157,2,2
16200,4,2
16458,3,4
16493,3,2
16692,3,3
16728,3,1
17382,3,2
17453,4,1
17579,3,4
17680,3,0
17871,3,4
17976,4,0
18080,2,0
18698,3,1
18859,4,1
18978,4,1
19104,4,1
19141,3,3
19163,4,1
19189,4,4
19423,3,2
19608,4,4
19659,4,2
19702,3,2
19935,3,4
20202,4,3
20255,3,3
20504,4,1
20525,4,0
20577,4,0
20742,4,0
21219,4,1
21249,4,1
21337,3,0
21466,3,3
21529,3,0
21574,0,0
21654,4,4
21715,4,1
21725,3,4
21803,3,3
22000,4,0
22086,4,0
22188,4,4
22397,3,4
22477,3,3
22622,4,4
22694,3,4
22707,4,2
22862,4,0
22912,3,1
22953,3,2
22962,4,0
23000,4,3
23201,3,0
23305,3,1
23392,4,2
23669,4,2
23861,4,4
24036,3,2
24905,3,1
24941,4,2
25119,4,2
25259,4,1
25386,2,3
25398,3,3
