movieid,year,isEnglish,country,runningtime
1672052,3,T,other,2
1672111,4,T,other,2
1672580,4,T,USA,3
1672716,4,T,USA,2
1672946,4,T,USA,0
1673647,3,F,France,3
1673658,4,T,USA,2
1673848,4,T,USA,2
1674388,4,T,USA,2
1674737,3,T,USA,2
1677011,4,T,USA,2
1677258,3,F,France,1
1677346,4,T,USA,1
1677472,1,T,USA,1
1677516,4,T,USA,2
1677631,3,T,USA,3
1678036,3,T,USA,3
1678591,4,T,UK,2
1679029,4,T,USA,2
1679461,4,T,USA,1
1679507,4,T,USA,1
1679920,4,F,other,2
1681633,4,T,USA,3
1681655,4,T,USA,2
1682630,3,F,USA,1
1682657,4,T,USA,1
1682692,4,T,USA,2
1682746,4,T,UK,3
1682922,4,T,USA,3
1684201,4,T,USA,2
1684430,4,T,USA,3
1684442,4,T,USA,1
1684486,4,T,USA,1
1684910,4,T,USA,1
1685241,2,T,USA,1
1685309,3,T,USA,1
1685405,4,T,USA,3
1685463,3,T,UK,3
1685493,4,T,UK,1
1685815,4,T,USA,2
1686071,4,T,other,2
1686209,2,T,USA,2
1687181,4,T,USA,2
1687191,1,T,USA,0
1687544,3,T,USA,3
1687685,4,T,USA,2
1687730,4,T,USA,2
1687738,2,T,USA,1
1687905,4,T,USA,3
1688103,4,T,USA,2
1688565,4,T,UK,2
1689117,4,T,other,1
1689183,4,T,USA,1
1689210,4,T,UK,1
1689263,4,T,USA,1
1689475,3,T,UK,1
1690318,4,T,USA,1
1690377,3,T,UK,3
1690616,4,T,USA,3
1690710,4,T,USA,1
1690773,4,T,UK,2
1690958,4,T,other,2
1691077,4,T,USA,2
1691387,4,T,USA,2
1691642,3,T,UK,3
1691685,4,T,other,2
1691793,4,T,USA,3
1692173,4,T,other,3
1692404,4,T,USA,1
1692580,4,T,UK,1
1693225,4,T,USA,1
1693305,3,T,UK,3
1693341,3,T,USA,1
1693345,4,T,USA,2
1693346,4,T,USA,2
1693347,4,T,USA,1
1693348,4,T,USA,1
1693818,4,T,USA,2
1693861,4,T,USA,2
1693880,4,T,USA,3
1694141,2,T,USA,3
1694448,4,T,UK,3
1694647,4,T,USA,1
1694901,3,T,USA,3
1695219,4,T,USA,3
1695355,4,T,UK,3
1696148,4,T,France,3
1696165,4,T,USA,2
1696168,4,T,USA,1
1696396,4,T,USA,2
1696473,4,T,France,3
1696496,3,T,USA,2
1696789,2,T,USA,3
1697037,2,T,USA,3
1697674,4,T,USA,2
1697690,4,T,USA,2
1697774,4,T,other,1
1697856,4,T,USA,3
1698492,4,T,USA,1
1698547,3,T,USA,1
1698667,4,T,UK,3
1698944,4,T,USA,2
1698960,2,T,USA,3
1698972,4,T,USA,2
1699546,1,F,USA,1
1699876,4,T,UK,3
1703410,4,T,other,2
1703469,4,T,USA,3
1703588,4,T,USA,2
1703679,4,F,other,3
1703907,4,T,USA,3
1704569,4,T,USA,1
1704571,4,T,USA,1
1704577,2,T,USA,3
1704645,4,T,UK,2
1705196,4,T,USA,1
1705417,4,T,USA,2
1706079,4,T,USA,1
1706140,4,T,USA,2
1706887,4,T,USA,1
1707277,4,T,USA,2
1707941,4,T,USA,3
1708591,4,T,USA,1
1708982,4,T,USA,3
1709238,3,T,USA,3
1709892,4,T,USA,1
1709901,4,T,USA,2
1710609,3,F,other,2
1710622,3,F,other,2
1710673,4,F,other,3
1710994,4,F,other,3
1711133,4,T,USA,3
1711143,4,T,USA,2
1711145,4,T,USA,1
1711175,4,T,USA,3
1711356,4,T,USA,1
1711383,3,T,USA,1
1711384,3,T,USA,1
1711393,3,T,USA,3
1711395,3,T,USA,3
1711398,3,T,USA,2
1712152,4,F,other,3
1713183,4,T,USA,1
1713499,4,T,USA,2
1713755,4,T,USA,2
1714481,2,T,USA,2
1714991,4,F,France,3
1715025,2,T,USA,1
1715186,3,T,USA,3
1715253,4,T,USA,1
1715288,4,T,USA,1
1715380,4,T,USA,3
1715404,4,T,USA,3
1715607,4,T,USA,3
1715793,2,T,USA,3
1716019,4,T,other,1
1716020,4,T,USA,1
1716411,4,T,USA,1
1716452,2,T,USA,3
1716615,3,T,USA,3
1717077,2,T,USA,3
1717117,4,T,USA,2
1717144,4,T,USA,1
1717455,4,T,USA,2
1717910,3,T,USA,1
1718318,4,T,USA,3
1718342,4,T,USA,1
1718968,3,F,France,2
1719502,3,T,USA,3
1719614,1,T,UK,1
1720040,3,T,USA,3
1720443,4,T,USA,2
1721568,4,T,USA,3
1721607,4,T,UK,1
1721750,4,T,USA,2
1721864,4,T,USA,3
1721888,3,T,USA,3
1721919,3,T,USA,3
1721967,4,T,USA,3
1722098,4,T,USA,2
1722164,4,T,USA,1
1722174,4,T,USA,1
1722181,3,T,USA,2
1722198,4,T,USA,2
1722327,4,T,USA,2
1722395,4,T,France,1
1722617,4,F,other,1
1722761,4,T,USA,3
1722776,3,T,USA,2
1722777,3,T,other,2
1723002,4,T,UK,1
1723532,4,T,USA,2
1724000,3,T,USA,3
1724037,4,T,USA,1
1724179,4,T,USA,1
1724180,4,T,USA,1
1724190,3,T,UK,2
1724193,4,T,UK,2
1724201,2,T,USA,3
1724413,4,T,UK,3
1724880,4,T,UK,2
1725437,4,F,other,1
1725774,4,T,USA,1
1726761,4,T,USA,2
1726934,4,T,USA,1
1727017,4,F,other,2
1727082,3,T,USA,3
1727237,2,T,USA,3
1727348,4,T,USA,2
1727413,3,T,UK,1
1727885,4,T,USA,1
1728742,4,T,other,2
1728802,4,T,USA,3
1728889,2,T,USA,2
1728948,2,T,USA,3
1729005,4,T,USA,2
1729026,4,T,USA,3
1729240,4,T,USA,3
1729260,4,T,USA,2
1729569,4,T,USA,1
1729579,2,F,other,1
1729818,3,T,USA,2
1730457,1,T,UK,0
1730566,4,T,USA,2
1730640,4,T,USA,3
1730836,4,T,UK,3
1730975,3,T,USA,1
1731412,4,T,USA,2
1731505,2,T,UK,1
1731582,4,T,USA,2
1732344,4,F,other,2
1732496,4,T,USA,1
1732658,4,T,USA,3
1732858,4,T,USA,3
1733111,3,F,other,3
1733479,3,T,USA,3
1733566,4,T,USA,3
1734162,4,T,USA,1
1734321,4,T,USA,3
1734369,3,F,other,2
1734803,4,T,USA,2
1735791,4,T,USA,2
1736211,4,T,USA,3
1736268,4,T,USA,3
1736362,4,T,USA,1
1736592,4,T,USA,2
1736794,4,T,USA,3
1737340,2,T,USA,3
1737713,4,F,other,2
1737766,3,T,USA,2
1738481,4,T,USA,3
1739234,4,F,other,2
1740732,4,T,USA,2
1740752,4,T,USA,3
1740811,3,T,USA,1
1741487,4,T,other,1
1741682,4,T,USA,3
1742509,3,T,other,2
1743028,3,T,USA,1
1743689,3,F,other,2
1743852,3,T,USA,3
1744178,4,T,UK,1
1744391,3,T,USA,3
1744809,4,T,USA,1
1744811,4,T,USA,1
1745373,4,T,UK,1
1745406,4,T,USA,2
1745530,3,T,USA,1
1746382,4,T,USA,3
1746829,4,T,USA,3
1747382,4,F,other,2
1747494,4,T,USA,1
1747545,4,T,UK,1
1747649,4,T,USA,2
1747899,4,F,other,3
1748196,4,T,other,1
1748219,4,T,other,2
1748315,2,T,USA,1
1748317,3,T,USA,2
1748754,4,T,USA,2
1748996,4,T,USA,1
1749026,4,T,USA,2
1749222,4,F,other,1
1749247,3,T,USA,2
1749438,1,T,USA,0
1749683,4,T,USA,2
1749731,4,T,USA,3
1749735,4,T,USA,2
1749737,4,T,USA,3
1749806,4,T,UK,2
1749891,4,T,USA,3
1750364,4,T,USA,3
1750424,4,T,USA,2
1750510,4,T,USA,2
1750660,4,T,USA,2
1750728,4,T,USA,1
1750816,4,T,other,2
1751059,4,F,other,1
