movieid,actorid,cast_num
1672580,981535,0
1672946,1094968,0
1673647,149985,0
1673647,261595,0
1673647,781357,0
1673647,893869,0
1673647,1806262,0
1673647,1944214,0
1673647,2464501,0
1673658,573391,0
1673658,601871,0
1673658,1380666,0
1673658,2648462,0
1673658,2695030,0
1674388,1113528,0
1674388,1694741,0
1677258,125952,0
1677258,175696,0
1677258,278828,0
1677258,579367,0
1677258,783444,0
1677258,895623,0
1677258,901647,0
1677258,1069101,0
1677258,1848219,0
1677258,1851541,0
1677258,1869400,0
1677258,1904273,0
1677258,2186060,0
1677258,2317215,0
1677258,2562270,0
1677346,56506,0
1677346,834521,0
1677346,1318493,0
1677346,1805336,0
1677346,1805337,0
1677346,1899198,0
1677346,1939900,0
1677346,2057626,0
1677346,2308852,0
1677346,2310634,0
1677346,2343476,0
1677346,2544083,0
1677346,2590846,0
1677346,2595848,0
1677346,2683271,0
1677346,2695288,0
1677516,1965083,0
1679920,2168937,0
1679920,2440695,0
1681655,250306,0
1681655,822660,0
1682630,2196639,0
1682630,2357300,0
1682692,2146518,0
1684430,320121,0
1684486,2345739,0
1684910,37671,0
1684910,69718,0
1684910,75288,0
1684910,133267,0
1684910,216527,0
1684910,218394,0
1684910,227265,0
1684910,247137,0
1684910,272630,0
1684910,321231,0
1684910,326045,0
1684910,340037,0
1684910,345422,0
1684910,358254,0
1684910,421093,0
1684910,422593,0
1684910,442730,0
1684910,511760,0
1684910,525044,0
1684910,634516,0
1684910,682881,0
1684910,705182,0
1684910,705384,0
1684910,708757,0
1684910,762450,0
1684910,906752,0
1684910,1260604,0
1684910,1275953,0
1684910,1279973,0
1684910,1286703,0
1684910,1322917,0
1684910,1338521,0
1684910,1356672,0
1684910,1358595,0
1684910,1380213,0
1684910,1426359,0
1684910,1504845,0
1684910,1510459,0
1684910,1523235,0
1684910,1542585,0
1684910,1648930,0
1684910,1683543,0
1684910,1724624,0
1684910,1831057,0
1684910,1918701,0
1684910,1920457,0
1684910,2039003,0
1684910,2045169,0
1684910,2053264,0
1684910,2078833,0
1684910,2103301,0
1684910,2258108,0
1684910,2308057,0
1684910,2361882,0
1684910,2364414,0
1684910,2367936,0
1684910,2378921,0
1684910,2421388,0
1684910,2513563,0
1684910,2534936,0
1684910,2617941,0
1684910,2634610,0
1684910,2723634,0
1685241,632993,0
1685463,689596,0
1685463,692422,0
1685463,958671,0
1685815,452798,0
1685815,603230,0
1685815,1132456,0
1685815,1390122,0
1686071,526726,0
1686071,1686426,0
1686071,1851274,0
1688565,106379,0
1688565,327511,0
1688565,490432,0
1688565,566186,0
1688565,602362,0
1688565,811619,0
1688565,975509,0
1688565,979519,0
1688565,1053390,0
1688565,1115009,0
1688565,1167826,0
1688565,1341264,0
1688565,1366209,0
1688565,1490616,0
1688565,1493746,0
1688565,1642056,0
1688565,2429285,0
1688565,2569839,0
1689183,986832,0
1689183,1455593,0
1689183,1741434,0
1689183,1771080,0
1689183,2632364,0
1689263,29920,0
1689263,105893,0
1689263,402303,0
1689263,452983,0
1689263,606542,0
1689263,662138,0
1689263,775718,0
1689263,862609,0
1689263,1074677,0
1689263,1088368,0
1689263,1375873,0
1689263,1376954,0
1689263,1465831,0
1689263,1473121,0
1689263,1488588,0
1689263,1489212,0
1689263,1523663,0
1689263,1700215,0
1689263,1750731,0
1689263,2622231,0
1690710,1450586,0
1692173,148630,0
1692173,1373368,0
1692580,1826192,0
1693346,1449736,0
1693818,298328,0
1693818,305388,0
1693818,746499,0
1693818,925672,0
1693818,1159635,0
1693818,1338932,0
1693818,1676014,0
1693818,1709571,0
1693818,2468959,0
1693880,556154,0
1693880,708729,0
1694141,572190,0
1695219,1310815,0
1696165,1553408,0
1696396,1068684,0
1696396,1906395,0
1696473,31015,0
1696473,426820,0
1696473,2202745,0
1696789,1612508,0
1697774,462416,0
1697774,462427,0
1697774,462475,0
1697774,897024,0
1697774,1371099,0
1698667,1720424,0
1698960,1055775,0
1698972,59992,0
1699546,1977310,0
1703410,2006485,0
1703679,2568537,0
1704577,1313995,0
1705196,309536,0
1705196,1167485,0
1705196,2129446,0
1706079,1921922,0
1709892,2497369,0
1710673,275673,0
1710673,905544,0
1710673,2733751,0
1710994,1765027,0
1711356,708887,0
1711383,1150200,0
1714991,589330,0
1714991,1172376,0
1714991,2194442,0
1715025,2413264,0
1715025,2745660,0
1716020,323894,0
1716452,2468136,0
1717117,218637,0
1717117,1561895,0
1718318,990076,0
1718318,2240711,0
1718342,2561075,0
1719614,685005,0
1719614,940201,0
1719614,1719683,0
1719614,2343036,0
1719614,2642101,0
1721750,744438,0
1721750,1115620,0
1721750,1352659,0
1722098,2064325,0
1722164,1694069,0
1722164,1838055,0
1722174,4,0
1722174,402831,0
1722174,479268,0
1722174,640748,0
1722174,668443,0
1722174,695718,0
1722174,782522,0
1722174,783663,0
1722174,1094677,0
1722174,1166142,0
1722174,1187084,0
1722174,1310427,0
1722174,1470284,0
1722174,1565216,0
1722174,1567000,0
1722174,2050183,0
1722174,2602210,0
1722181,699535,0
1722181,904376,0
1722181,2382785,0
1722181,2709823,0
1722198,644665,0
1722198,1309045,0
1722198,1890982,0
1722761,448238,0
1722761,960571,0
1724000,2413264,0
1724179,697070,0
1724179,734575,0
1724179,864816,0
1724179,2522544,0
1724193,286362,0
1726761,40327,0
1726761,164722,0
1726761,325775,0
1726761,541860,0
1726761,541946,0
1726761,541958,0
1726761,543239,0
1726761,560107,0
1727237,1847008,0
1727413,266087,0
1727413,288731,0
1727413,692422,0
1727413,828628,0
1727413,1154731,0
1727413,2484914,0
1729260,1353005,0
1729579,96287,0
1729579,1156394,0
1729579,1333347,0
1729579,1347365,0
1729579,1645017,0
1729579,1770091,0
1729579,1895146,0
1729579,2059393,0
1729579,2266959,0
1729579,2298729,0
1729579,2511502,0
1730457,446933,0
1730457,2712522,0
1730566,1639956,0
1730566,2493323,0
1730836,183410,0
1730836,568533,0
1730836,836672,0
1730836,864950,0
1730836,984506,0
1730836,1243340,0
1730836,1636223,0
1730836,1636224,0
1730836,1936246,0
1730836,2059478,0
1730836,2059525,0
1730836,2059616,0
1730836,2085059,0
1730836,2465252,0
1730836,2507033,0
1730836,2675737,0
1730836,2692868,0
1732496,1475537,0
1732858,31751,0
1733111,91859,0
1733111,93020,0
1733111,93023,0
1733111,141223,0
1733111,265336,0
1733111,265469,0
1733111,273322,0
1733111,544527,0
1733111,565584,0
1733111,565642,0
1733111,1079823,0
1733111,1112492,0
1733111,1127378,0
1733111,1203815,0
1733111,1204676,0
1733111,1369363,0
1733111,1438175,0
1733111,1438182,0
1733111,1507882,0
1733111,1590020,0
1733111,1777651,0
1733111,1823833,0
1733111,1990856,0
1733111,2113656,0
1733111,2440517,0
1733111,2492595,0
1733111,2529423,0
1733111,2567111,0
1733566,59992,0
1733566,132226,0
1733566,336574,0
1733566,722474,0
1733566,1264930,0
1733566,1323071,0
1733566,1738352,0
1734369,91701,0
1734369,91833,0
1734369,141223,0
1734369,141315,0
1734369,141501,0
1734369,273254,0
1734369,273329,0
1734369,565634,0
1734369,565652,0
1734369,977803,0
1734369,977806,0
1734369,1472865,0
1734369,1990794,0
1734369,1990802,0
1734369,1990907,0
1735791,121023,0
1735791,576899,0
1735791,712107,0
1735791,860877,0
1735791,1361581,0
1736268,1264928,0
1737713,378285,0
1737713,415472,0
1737713,1138320,0
1737713,1293901,0
1737713,1825942,0
1737713,2477188,0
1737766,2184595,0
1738481,492021,0
1738481,881042,0
1738481,1783306,0
1740752,908369,0
1741487,111112,0
1741682,992711,0
1743028,599169,0
1744391,350708,0
1744809,851,0
1744809,446819,0
1744809,782978,0
1744811,756581,0
1746829,23998,0
1746829,59992,0
1746829,389622,0
1746829,415664,0
1746829,598496,0
1746829,912926,0
1746829,1054099,0
1746829,1066587,0
1746829,1167513,0
1746829,1491529,0
1746829,1510315,0
1746829,1567388,0
1746829,1607488,0
1746829,1609766,0
1746829,1664979,0
1746829,1735440,0
1746829,2136955,0
1746829,2244567,0
1746829,2376054,0
1746829,2491930,0
1747545,502063,0
1747545,779842,0
1747649,709612,0
1748219,342571,0
1748317,2533335,0
1749222,979963,0
1749438,302710,0
1749438,648213,0
1749438,1363197,0
1749438,1703580,0
1749438,1818778,0
1749438,2084608,0
1749438,2348231,0
1749683,1176890,0
1749731,233951,0
1749731,1430395,0
1749735,442730,0
1749735,1662635,0
1749891,429607,0
1750660,1530927,0
1751872,1262784,0
1751872,2363431,0
1751872,2407166,0
1753266,250300,0
1753266,1446399,0
1753266,1724100,0
1753266,1856972,0
1753266,1914840,0
1753348,22703,0
1753348,26048,0
1753348,118891,0
1753348,315735,0
1753348,367533,0
1753348,432653,0
1753348,447537,0
1753348,649152,0
1753348,698371,0
1753348,700482,0
1753348,707111,0
1753348,1132945,0
1753348,1454837,0
1753348,1522816,0
1753348,1542649,0
1753348,1736398,0
1753348,1812148,0
1753348,1860190,0
1753348,1920611,0
1753348,1929890,0
1753348,1969024,0
1753348,2086767,0
1753348,2163528,0
1753348,2225268,0
1753348,2258998,0
1753348,2270110,0
1753348,2404406,0
1753348,2506771,0
1753348,2547542,0
1753348,2723157,0
1753348,2725009,0
1753400,1346397,0
1753400,1462583,0
1753400,1470042,0
1753400,1712422,0
1753400,1933592,0
1754884,474413,0
1754884,492516,0
1754884,1331630,0
1754884,1407879,0
1754884,1630810,0
1754884,1866010,0
1754884,1895877,0
1754884,2053569,0
1754884,2105103,0
1754884,2334109,0
1754884,2381812,0
1754884,2528250,0
1755813,198871,0
1755813,582080,0
1755813,1114110,0
1755813,1166142,0
1755813,1276263,0
1755813,1329406,0
1755813,1432091,0
1755813,1523356,0
1755813,1766180,0
1755813,2228383,0
1756051,902104,0
1756768,1831167,0
1756768,1955899,0
1757342,1449621,0
1757423,2599632,0
1757698,182433,0
1757698,1669737,0
1757698,2167010,0
1759983,831106,0
1759983,1501317,0
1760586,163464,0
1760586,174354,0
1760586,346348,0
1760586,353555,0
1760586,455791,0
1760586,608525,0
1760586,672021,0
1760586,705039,0
1760586,819384,0
1760586,880089,0
1760586,892256,0
1760586,910838,0
1760586,1002293,0
1760586,1068649,0
1760586,1081071,0
1760586,1134795,0
1760586,1259345,0
1760586,1269696,0
1760586,1328759,0
1760586,1356204,0
1760586,1512124,0
1760586,1682065,0
1760586,2326006,0
1760752,119860,0
1762174,402083,0
1762174,645542,0
1762174,645741,0
1762174,645768,0
1762174,696129,0
1762174,1473319,0
1762174,2535349,0
1762644,197860,0
1762644,857819,0
1762644,1179499,0
1762644,1240281,0
1763653,525280,0
1763653,1032483,0
1765108,31751,0
1765164,807799,0
1765164,810095,0
1765164,1513139,0
1765787,1002661,0
1766407,316712,0
1766407,500596,0
1766407,1418511,0
1766407,1453601,0
1766407,1823635,0
1766407,1972912,0
1766407,2622703,0
1766427,1590890,0
1767110,401842,0
1767110,481386,0
1767110,668725,0
1767110,776519,0
1767110,894861,0
1767110,960458,0
1767110,1177765,0
1767110,1240175,0
1767110,1375054,0
1767110,1445605,0
1767110,1632315,0
1767110,1703581,0
1767110,2532452,0
1767537,977990,0
1767537,2525708,0
1768211,1762425,0
1768211,1762643,0
1768211,1763330,0
1768211,2744807,0
1770285,1490705,0
1771673,43036,0
1771673,158672,0
1771673,170996,0
1771673,181404,0
1771673,227967,0
1771673,278185,0
1771673,312112,0
1771673,362057,0
1771673,760751,0
1771673,1110587,0
1771673,1148348,0
1771673,1421409,0
1771673,1429313,0
1771673,1503867,0
1771673,1709341,0
1771673,1851483,0
1771673,1900824,0
1771673,2080142,0
1771673,2113915,0
1771673,2208225,0
1771673,2500438,0
1773436,40370,0
1773436,501309,0
1773436,591568,0
1773436,1028823,0
1775854,1829362,0
1776407,257339,0
1776407,815064,0
1776407,823040,0
1777297,779162,0
1777297,833197,0
1778025,921540,0
1778258,1496947,0
1778258,2166947,0
1778697,1729796,0
1779474,1781823,0
1779868,314440,0
1780022,157698,0
1780595,743441,0
1780595,2080401,0
1780595,2336344,0
1780992,2263939,0
1780992,2436564,0
1783641,674662,0
1783641,1616374,0
1783892,62662,0
1784129,164862,0
1784129,568811,0
1784129,1598263,0
1784206,649333,0
1784206,1249219,0
1785265,1100258,0
1786136,10345,0
1786136,604571,0
1786142,45879,0
1786142,95688,0
1786142,144714,0
1786142,286807,0
1786142,286846,0
1786142,362222,0
1786142,515748,0
1786142,592150,0
1786142,681258,0
1786142,846000,0
1786142,922444,0
1786142,1156810,0
1786142,1167247,0
1786142,1232732,0
1786142,1296874,0
1786142,1389159,0
1786142,1529467,0
1786142,1692729,0
1786142,1718008,0
1786142,1814807,0
1786142,1879610,0
1786142,2052338,0
1786142,2607371,0
1786142,2708250,0
1786236,26763,0
1786566,2484913,0
1787149,2152613,0
1787428,43449,0
1787428,1385938,0
1787511,153282,0
1788314,296438,0
1788314,803030,0
1788314,1119811,0
1788314,1332064,0
1788621,298425,0
1788621,799471,0
1788621,1576229,0
1788621,2256355,0
1790311,1119937,0
1790311,1138895,0
1790311,2304761,0
1790530,194786,0
1790530,450629,0
1790530,483658,0
1790530,851168,0
1790530,1008724,0
1790530,1279031,0
1790530,1623866,0
1790530,1761331,0
1790530,2020352,0
1790530,2502474,0
1790753,67523,0
1790753,111524,0
1790753,118194,0
1790753,125597,0
1790753,128275,0
1790753,132944,0
1790753,133330,0
1790753,138587,0
1790753,145961,0
1790753,161108,0
1790753,200202,0
1790753,214687,0
1790753,227370,0
1790753,230994,0
1790753,238470,0
1790753,259833,0
1790753,268300,0
1790753,270151,0
1790753,272413,0
1790753,288731,0
1790753,317685,0
1790753,317795,0
1790753,336849,0
1790753,359997,0
