movieid,directorid,genre
1672111,54934,Action
1672946,188940,Action
1679461,179783,Action
1691387,291700,Action
1693305,14663,Action
1698667,98630,Action
1704645,98630,Action
1705417,19141,Action
1706887,221541,Action
1707277,52953,Action
1709238,108073,Action
1711133,260603,Action
1711175,213822,Action
1711393,128558,Action
1711398,256455,Action
1715380,130253,Action
1715404,39629,Action
1715607,172775,Action
1717455,196811,Action
1719502,69968,Action
1722327,56159,Action
1731582,13745,Action
1736268,19189,Action
1736362,158089,Action
1736794,54543,Action
1740732,123402,Action
1740752,70986,Action
1740811,41939,Action
1744811,230882,Action
1745530,4997,Action
1749891,121794,Action
1750364,19189,Action
1750510,135809,Action
1751872,91117,Action
1753695,98451,Action
1754799,119455,Action
1754884,281227,Action
1757342,246268,Action
1757347,37121,Action
1757367,246268,Action
1757378,37121,Action
1757423,5763,Action
1757423,142542,Action
1757423,210916,Action
1757423,222944,Action
1757423,228607,Action
1757423,274556,Action
1757698,155392,Action
1757893,49086,Action
1759189,123878,Action
1763465,300073,Action
1763653,218785,Action
1765108,62483,Action
1765347,228463,Action
1765652,55590,Action
1766407,151963,Action
1766427,73359,Action
1766849,28945,Action
1767151,5049,Action
1769766,101620,Action
1770285,41939,Action
1774349,120629,Action
1776052,200149,Action
1778536,41759,Action
1778697,10484,Action
1778699,180716,Action
1779176,120788,Action
1779757,176568,Action
1780022,151963,Action
1784206,111350,Action
1785251,108073,Action
1786413,200150,Action
1787090,96982,Action
1788165,177106,Action
1790007,298771,Action
1790523,75298,Action
1792713,149557,Action
1793433,68638,Action
1803115,289841,Action
1804924,190139,Action
1804925,297381,Action
1809984,62087,Action
1811382,275755,Action
1816379,131292,Action
1819870,125482,Action
1823223,200697,Action
1823486,111350,Action
1826286,298471,Action
1829882,293703,Action
1830096,184198,Action
1830497,137425,Action
1830531,129163,Action
1831084,172775,Action
1831363,155392,Action
1831593,70986,Action
1832668,253187,Action
1838160,247289,Action
1838773,211555,Action
1842584,111350,Action
1843756,292753,Action
1843757,159773,Action
1848628,70782,Action
1849156,289841,Action
1850182,213822,Action
1854045,51903,Action
1854166,247289,Action
1858361,297504,Action
1858362,155392,Action
1858363,297504,Action
1858364,99806,Action
1859542,111350,Action
1859617,155280,Action
1859753,258859,Action
1861514,31460,Action
1868890,232620,Action
1869010,245889,Action
1870132,172161,Action
1872662,19608,Action
1874279,180080,Action
1874284,111350,Action
1874295,180080,Action
1878669,121340,Action
1878669,300947,Action
1879793,298771,Action
1889009,278493,Action
1890357,302682,Action
