userid,age,u_gender,occupation
1,1,F,2
51,1,F,2
75,1,F,2
86,1,F,2
99,1,F,2
119,1,F,2
194,1,F,2
210,1,F,2
468,1,F,2
470,1,F,2
484,1,F,2
606,1,F,2
629,1,F,2
634,1,F,2
888,1,F,2
1045,1,F,2
1088,1,F,2
1154,1,F,2
1195,1,F,2
1348,1,F,2
1365,1,F,2
1421,1,F,2
1434,1,F,2
1508,1,F,2
1563,1,F,2
1568,1,F,2
1929,1,F,2
2133,1,F,2
2137,1,F,2
2155,1,F,2
2162,1,F,2
2202,1,F,2
2285,1,F,2
2346,1,F,2
2418,1,F,2
2657,1,F,2
2810,1,F,2
2858,1,F,2
3382,1,F,2
3604,1,F,2
3667,1,F,2
3843,1,F,2
3865,1,F,2
4086,1,F,2
4158,1,F,2
4493,1,F,2
4549,1,F,2
4572,1,F,2
4575,1,F,2
4606,1,F,2
4690,1,F,2
4883,1,F,2
5063,1,F,2
5114,1,F,2
5247,1,F,2
5302,1,F,2
5459,1,F,2
5514,1,F,2
5524,1,F,2
5525,1,F,2
5756,1,F,2
5844,1,F,2
5989,1,F,2
743,1,F,3
4256,1,F,3
5768,1,F,4
1187,1,F,5
1926,1,F,5
2045,1,F,5
3087,1,F,5
3234,1,F,5
5296,1,F,5
5411,1,F,5
5420,1,F,5
5687,1,F,5
5751,1,F,5
5840,1,F,5
6006,1,F,5
775,1,M,1
1818,1,M,1
3190,1,M,1
19,1,M,2
153,1,M,2
349,1,M,2
490,1,M,2
580,1,M,2
745,1,M,2
753,1,M,2
762,1,M,2
866,1,M,2
871,1,M,2
875,1,M,2
884,1,M,2
906,1,M,2
926,1,M,2
940,1,M,2
960,1,M,2
979,1,M,2
1054,1,M,2
1096,1,M,2
1163,1,M,2
1182,1,M,2
1198,1,M,2
1220,1,M,2
1241,1,M,2
1263,1,M,2
1280,1,M,2
1300,1,M,2
1308,1,M,2
1327,1,M,2
1353,1,M,2
1366,1,M,2
1372,1,M,2
1380,1,M,2
